symbol
AEX
AEX_mini
ALUMINIUM
ALUMINIUM_LME
AUD
AUDJPY
AUD_micro
BB3M
BBCOMM
BITCOIN
BOBL
BONO
BOVESPA
BRE
BRENT-LAST
BRENT_W
BTP
BTP3
BUND
BUTTER
BUXL
CAC
CAD
CAD10
CAD2
CAD5
CAD_micro
CANOLA
CH10
CHEESE
CHF
CHFJPY
CHF_micro
CHINAA-CON
CLP
CNH-onshore
CNH
COAL-GEORDIE
COAL
COCOA
COCOA_LDN
COFFEE
COPPER-micro
COPPER-mini
COPPER
COPPER_LME
CORN
CORN_mini
COTTON
COTTON2
CRUDE_ICE
CRUDE_W
CRUDE_W_micro
CRUDE_W_mini
CZK
DAX
DJSTX-SMALL
DOW
DOW_mini
DX
EPRA-EUROPE
ETHANOL
ETHER-micro
ETHEREUM
EU-AUTO
EU-BANKS
EU-BASIC
EU-CHEM
EU-CONSTRUCTION
EU-DIV30
EU-DJ-OIL
EU-DJ-TECH
EU-DJ-TELECOM
EU-DJ-UTIL
EU-FOOD
EU-HEALTH
EU-HOUSE
EU-INSURE
EU-MEDIA
EU-MID
EU-OIL
EU-REALESTATE
EU-RETAIL
EU-TECH
EU-TRAVEL
EU-UTILS
EUA
EUR
EURAUD
EURCAD
EURCHF
EURIBOR-ICE
EURIBOR
EURO600
EUROSTX-LARGE
EUROSTX-SMALL
EUROSTX
EUROSTX200-LARGE
EUR_micro
EUR_mini
FANG
FED
FEEDCOW
FTSE100
FTSE250
FTSECHINAA
FTSECHINAH
FTSEINDO
FTSETAIWAN
FTSEVIET
GAS-LAST
GAS-PEN
GASOIL
GASOILINE
GASOILINE_ICE
GASOILINE_micro
GAS_US
GAS_US_mini
GBP
GBPCHF
GBPEUR
GBPJPY
GBP_micro
GICS
GILT
GOLD-mini
GOLD
GOLD_micro
HANG
HANGENT
HANGENT_mini
HANGTECH
HANG_mini
HEATOIL-ICE
HEATOIL
HIGHYIELD
HOUSE-US
IBEX
IBEX_mini
IG
INR
IRON
IRS
JGB-SGX-mini
JGB-mini
JGB
JP-REALESTATE
JPY
JPY_mini
KOSDAQ
KOSPI
KOSPI_mini
KR10
KR3
KRWUSD
KRWUSD_mini
LEAD_LME
LEANHOG
LIVECOW
LUMBER-new
MIB
MILK
MILKDRY
MILKWET
MILLWHEAT
MSCIASIA
MSCIEAFA
MSCIEMASIA
MSCISING
MSCITAIWAN
MSCIWORLD
MUMMY
MXP
NASDAQ
NASDAQ_micro
NICKEL_LME
NIKKEI
NIKKEI400
NOK
NZD
OAT
OATIES
OJ
OMX
PALLAD
PLAT
PLN
R1000
REDWHEAT
RICE
ROBUSTA
RUBBER
RUR
RUSSELL
RUSSELL_mini
SARONA
SEK
SGD
SGD_mini
SGX
SHATZ
SILVER
SMI-MID
SMI
SOFR
SONIA3
SOYBEAN
SOYBEAN_mini
SOYMEAL
SOYOIL
SP400
SP500
SP500_micro
SPI200
STEEL
SUGAR11
SUGAR16
SUGAR_WHITE
SWISSLEAD
TIN_LME
TOPIX
TWD-mini
TWD
US-DISCRETE
US-ENERGY
US-FINANCE
US-HEALTH
US-INDUSTRY
US-MATERIAL
US-PROPERTY
US-REALESTATE
US-STAPLES
US-TECH
US-UTILS
US10
US10U
US2
US20
US3
US30
US5
V2X
VIX
VIX_mini
VNKI
WHEAT
WHEAT_ICE
WHEAT_mini
WHEY
YENEUR
ZAR
ZINC_LME
